dtu_id,ts,dtu_data,dtu_vib
6,1770086355954,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9507795, ""AY"": 0.1851795, ""AZ"": 0.043065, ""DX"": 2, ""DY"": 1, ""DZ"": 1, ""GX"": -0.3662112, ""GY"": 0.7934576, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.1, ""HZY"": 1.9, ""HZZ"": 0.8, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.95, ""HEIGHT"": -8.944}"
6,1770086355452,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9536505, ""AY"": 0.177045, ""AZ"": 0.0177045, ""DX"": 1, ""DY"": 3, ""DZ"": 1, ""GX"": -0.305176, ""GY"": 0.7324224, ""GZ"": 0.7934576, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.9, ""HZY"": 1.6, ""HZZ"": 1.4, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086354950,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9622635, ""AY"": 0.1813515, ""AZ"": 0.0397155, ""DX"": 1, ""DY"": 1, ""DZ"": 1, ""GX"": -0.4272464, ""GY"": 0.7934576, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.9, ""HZY"": 1.6, ""HZZ"": 1.4, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.89, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086354448,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.953172, ""AY"": 0.188529, ""AZ"": 0.03828, ""DX"": 0, ""DY"": 2, ""DZ"": 1, ""GX"": -0.1831056, ""GY"": 0.4272464, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1, ""HZY"": 2.1, ""HZZ"": 1, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.95, ""HEIGHT"": -8.944}"
6,1770086353945,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.953172, ""AY"": 0.1937925, ""AZ"": 0.0502425, ""DX"": 1, ""DY"": 2, ""DZ"": 2, ""GX"": -0.305176, ""GY"": 0.5493168, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1, ""HZY"": 2.1, ""HZZ"": 1, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.52, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086353443,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.93786, ""AY"": 0.182787, ""AZ"": 0.035409, ""DX"": 1, ""DY"": 2, ""DZ"": 2, ""GX"": -0.305176, ""GY"": 0.6713872, ""GZ"": 0.8544928, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.3, ""HZY"": 1.3, ""HZZ"": 2, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086352941,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9565215, ""AY"": 0.1650825, ""AZ"": 0.025839, ""DX"": 1, ""DY"": 2, ""DZ"": 2, ""GX"": -0.305176, ""GY"": 0.7324224, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.5, ""HZY"": 1.4, ""HZZ"": 0.7, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.52, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.936}"
6,1770086352439,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9526935, ""AY"": 0.1756095, ""AZ"": 0.0387585, ""DX"": 1, ""DY"": 1, ""DZ"": 2, ""GX"": -0.4272464, ""GY"": 0.7324224, ""GZ"": 0.610352, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.5, ""HZY"": 1.4, ""HZZ"": 0.7, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.52, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.936}"
6,1770086351937,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9641775, ""AY"": 0.1976205, ""AZ"": 0.039237, ""DX"": 2, ""DY"": 1, ""DZ"": 2, ""GX"": 0, ""GY"": 0.610352, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.5, ""HZY"": 1.4, ""HZZ"": 0.7, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.936}"
6,1770086351435,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.948387, ""AY"": 0.186615, ""AZ"": 0.0205755, ""DX"": 1, ""DY"": 1, ""DZ"": 3, ""GX"": -0.1220704, ""GY"": 0.610352, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.5, ""HZY"": 0.9, ""HZZ"": 1.1, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
