elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag,seg_energy
elevator-unknown,1773735367975,2026-03-17 16:16:07.975,1773735367968,7,1,-0.44970703125,0.9365234375,0.06591796875,-0.3662109375,0.8544921875,0.9765625,0,1,1,0.0,0.0,0.0,28.09,,,,,,,1.0409888287328692,1.3483106710433668,0.013042571467983382
elevator-unknown,1773735367997,2026-03-17 16:16:07.997,1773735367993,4,1,-0.4345703125,0.88818359375,0.00341796875,-0.54931640625,0.732421875,0.732421875,0,0,1,0.0,0.0,0.0,28.15,,,,,,,0.9888038911854001,1.172447064959628,0.013147016456014302
elevator-unknown,1773735368029,2026-03-17 16:16:08.029,1773735368019,10,1,-0.4599609375,0.87646484375,0.005859375,-0.1220703125,1.03759765625,0.6103515625,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9898429262418262,1.2099748291991583,0.013297292414496417
elevator-unknown,1773735368050,2026-03-17 16:16:08.050,1773735368043,7,1,-0.462890625,0.884765625,0.04443359375,-0.1220703125,0.54931640625,0.67138671875,0,0,0,0.0,0.0,0.0,28.28,,,,,,,0.999526030750611,0.8760192928715408,0.014123956806306149
elevator-unknown,1773735368072,2026-03-17 16:16:08.072,1773735368068,4,1,-0.4462890625,0.88671875,0.02197265625,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.9929385008807806,1.0518608361580863,0.01439402742617699
elevator-unknown,1773735368104,2026-03-17 16:16:08.104,1773735368094,10,1,-0.45849609375,0.87548828125,0.001953125,-0.30517578125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,28.21,,,,,,,0.9882824562276483,1.1628759084019562,0.015225432498472255
elevator-unknown,1773735368125,2026-03-17 16:16:08.125,1773735368118,7,1,-0.4462890625,0.88037109375,0.01611328125,-0.06103515625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.9871609938861755,0.9669787303317176,0.015655299714999998
elevator-unknown,1773735368147,2026-03-17 16:16:08.147,1773735368144,3,1,-0.44677734375,0.8828125,0.0126953125,-0.48828125,0.9765625,0.67138671875,0,0,0,0.0,0.0,0.0,28.21,,,,,,,0.9895095128416039,1.28173828125,0.016479676275872275
elevator-unknown,1773735368179,2026-03-17 16:16:08.179,1773735368169,10,1,-0.4892578125,0.853515625,-0.01708984375,-0.18310546875,0.48828125,0.6103515625,0,0,0,0.0,0.0,0.0,28.21,,,,,,,0.9839482669179438,0.80279214098913,0.01658639525763851
elevator-unknown,1773735368200,2026-03-17 16:16:08.200,1773735368193,7,1,-0.443359375,0.884765625,0.02978515625,-0.1220703125,0.8544921875,0.67138671875,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9900832803935576,1.0935347208965402,0.017357646244242672
elevator-unknown,1773735368221,2026-03-17 16:16:08.221,1773735368219,2,1,-0.40771484375,0.94384765625,0.0517578125,-0.3662109375,0.9765625,0.54931640625,0,0,0,0.0,0.0,0.0,28.34,,,,,,,1.029445803904941,1.1787846628312968,0.018118372822607875
elevator-unknown,1773735368243,2026-03-17 16:16:08.243,1773735368242,1,1,-0.4765625,0.91552734375,-0.0224609375,-0.48828125,1.28173828125,0.732421875,0,0,1,0.0,0.0,0.0,28.34,,,,,,,1.0323791102465991,1.5548998050362546,0.018359933868157048
elevator-unknown,1773735368275,2026-03-17 16:16:08.275,1773735368267,8,1,-0.51123046875,0.86865234375,-0.00439453125,0.0,1.03759765625,1.03759765625,0,0,0,0.0,0.0,0.0,28.15,,,,,,,1.0079349177330945,1.4673846777552866,0.018621130035422477
elevator-unknown,1773735368296,2026-03-17 16:16:08.296,1773735368293,3,1,-0.41162109375,0.931640625,0.01611328125,-0.3662109375,0.3662109375,0.54931640625,0,1,1,0.0,0.0,0.0,28.02,,,,,,,1.0186490155117112,0.7549631882844837,0.019148180222675983
elevator-unknown,1773735368329,2026-03-17 16:16:08.329,1773735368319,10,1,-0.453125,0.9365234375,-0.00390625,-0.244140625,0.91552734375,0.54931640625,0,1,0,0.0,0.0,0.0,28.21,,,,,,,1.040391115591093,1.0952367214920875,0.01923179842934807
elevator-unknown,1773735368350,2026-03-17 16:16:08.350,1773735368342,8,1,-0.44970703125,0.87158203125,0.0263671875,-0.244140625,0.91552734375,0.732421875,0,1,0,0.0,0.0,0.0,28.28,,,,,,,0.9811151205287912,1.197596244528112,0.019268303088098886
